Date,FTIR_integrate_00,FTIR_integrate_01,FTIR_integrate_02,FTIR_integrate_03,FTIR_integrate_04,FTIR_integrate_05,FTIR_integrate_06,FTIR_integrate_07,FTIR_integrate_08,FTIR_integrate_09,FTIR_integrate_10,FTIR_integrate_11,FTIR_integrate_12,FTIR_integrate_13,FTIR_integrate_14,FTIR_integrate_15,IWP,LWP,Latitude,Longitude,RRTMG_All_00,RRTMG_All_01,RRTMG_All_02,RRTMG_All_03,RRTMG_All_04,RRTMG_All_05,RRTMG_All_06,RRTMG_All_07,RRTMG_All_08,RRTMG_All_09,RRTMG_All_10,RRTMG_All_11,RRTMG_All_12,RRTMG_All_13,RRTMG_All_14,RRTMG_All_15,RRTMG_All_16,RRTMG_All_17,RRTMG_All_18,RRTMG_All_19,RRTMG_All_20,RRTMG_All_21,RRTMG_All_22,RRTMG_All_23,RRTMG_All_24,RRTMG_All_25,RRTMG_All_26,RRTMG_All_27,RRTMG_All_28,RRTMG_Clear_00,RRTMG_Clear_01,RRTMG_Clear_02,RRTMG_Clear_03,RRTMG_Clear_04,RRTMG_Clear_05,RRTMG_Clear_06,RRTMG_Clear_07,RRTMG_Clear_08,RRTMG_Clear_09,RRTMG_Clear_10,RRTMG_Clear_11,RRTMG_Clear_12,RRTMG_Clear_13,RRTMG_Clear_14,RRTMG_Clear_15,RRTMG_Clear_16,RRTMG_Clear_17,RRTMG_Clear_18,RRTMG_Clear_19,RRTMG_Clear_20,RRTMG_Clear_21,RRTMG_Clear_22,RRTMG_Clear_23,RRTMG_Clear_24,RRTMG_Clear_25,RRTMG_Clear_26,RRTMG_Clear_27,RRTMG_Clear_28,SZA,red_chi_2,rice,rliq
2017-07-10 17:04:00,45678.789525892294,4773.9668904289565,48.58396779595605,24.36134034550259,35.37905491163818,31.501048322135134,13.82748731863878,10.788773548163096,18.734153733746492,5.2962557313938445,8.449561524347779,-250.27499769696794,-2207.5535968703452,-3221.7289471206927,-8476.763862265641,-47256.553610645984,2.286103788561214,20.57098873635197,82.251964,17.791812,49.9589,51.8799,48.1498,24.5824,36.609,35.8878,16.5626,12.5484,19.2175,5.5117,10.269,3.0331,0.6891,0.3333,0.1921,0.1432,1.4919,0.0089,2.8533,1.9099,6.4036,10.9661,5.5801,73.9566,54.2112,91.8036,36.6259,6.2658,0.0313,49.6407,51.8659,47.5709,24.5795,26.1032,8.7783,5.5643,2.9772,14.7352,5.4893,10.2689,2.7897,0.4409,0.3321,0.0853,0.0618,1.8588,0.0582,5.9295,4.2755,10.1516,16.2078,7.5894,96.1194,67.8828,109.8852,40.0329,6.3329,0.0,68.36157821879999,1.0694414552610847,13.922038737973011,8.779565619328892
2017-07-10 17:07:00,-44867.49290799942,-4607.5627945962815,48.35042069222592,24.457038738167828,35.10557435983078,31.078569501935945,13.623802636556512,10.630236044374492,18.58338579898117,4.800023284452087,7.019180539234755,-139.38684284366056,-1239.5400981374532,-1808.9989846442613,-4759.698122218639,-26534.528168748344,4.3194047488880765,20.395447397103393,82.250996,17.79093,49.9574,51.8805,48.1469,24.5831,36.5401,35.7069,16.4957,12.4767,19.1836,5.5119,10.2697,3.0301,0.6859,0.3333,0.1904,0.1419,1.4966,0.0092,2.8456,1.9124,6.3789,10.9013,5.5803,73.8892,54.0973,91.4911,36.4642,6.2292,0.0311,49.6413,51.8665,47.5699,24.5802,26.0999,8.774,5.5633,2.9762,14.7343,5.4897,10.2696,2.7897,0.4408,0.3321,0.0853,0.0618,1.8477,0.0572,5.8991,4.2517,10.1016,16.1243,7.5517,95.6453,67.5481,109.307,39.804,6.2896,0.0,68.462195443,1.208872160270745,27.87489945150825,9.304273457664287
2017-07-10 17:07:30,-94126.26097751876,-9715.539503010352,48.20455835161891,24.374330554010747,34.91537221417374,30.575001743267777,13.36751235323912,10.425995447195255,18.509092517297503,5.307748972652451,7.380694369831244,-315.88617605559944,-2780.109984176701,-4057.3242819106854,-10675.317636864178,-59513.126520232116,2.3687346391948654,19.581959368278977,82.250996,17.79093,49.955,51.8805,48.1442,24.5831,36.4794,35.5071,16.4064,12.3883,19.1393,5.5117,10.2697,3.0269,0.6827,0.3333,0.189,0.1408,1.5106,0.0095,2.9612,1.9971,6.5211,11.1068,5.6153,74.1587,54.2341,91.654,36.5009,6.2327,0.0312,49.6413,51.8666,47.5695,24.5802,26.0995,8.7733,5.5631,2.9761,14.7342,5.4897,10.2696,2.7896,0.4408,0.3321,0.0853,0.0618,1.8477,0.0572,5.8991,4.2517,10.1017,16.1244,7.5517,95.6459,67.5482,109.307,39.804,6.2896,0.0,68.462195443,1.3760921135638187,14.411807645823295,9.481068595882476
2017-07-10 17:08:30,-1446.7670488592466,-91.46654981531215,48.06425144601597,24.381473567108188,35.01121062524249,30.994297070615573,13.547371943351113,10.564790148859789,18.546967989116496,5.157587768166365,7.928386883773621,-99.04841293389927,-886.9139197831464,-1294.3723101539103,-3405.6522454615183,-18985.946822618436,3.036071320464313,20.391952540724894,82.250544,17.790605,49.9573,51.8809,48.1459,24.5834,36.5178,35.6617,16.4861,12.465,19.1772,5.512,10.27,3.0296,0.6852,0.3334,0.1903,0.1415,1.4989,0.0093,2.8888,1.9426,6.4316,10.9821,5.5802,73.8509,54.041,91.3669,36.4055,6.2163,0.0311,49.6416,51.8669,47.5695,24.5805,26.0986,8.7719,5.5628,2.9758,14.734,5.4898,10.2699,2.7896,0.4408,0.3321,0.0853,0.0618,1.844,0.0569,5.8891,4.2438,10.0848,16.0961,7.5391,95.4876,67.4369,109.1143,39.7278,6.2749,0.0,68.495719719,1.1633585855929682,19.08277161153716,9.514922707477863
2017-07-10 17:11:45,-173617.8689984671,-17926.5933615878,48.65982002777804,24.444547331535183,35.79323914795344,32.679601829518894,14.388121421586007,11.283630939138956,19.03442558631754,5.204388447786442,9.026365073274425,-256.6051743690031,-2263.346336631881,-3303.153509126229,-8691.001868019102,-48450.89498535315,3.7587312827765995,23.11396415448017,82.248278,17.787811,49.9663,51.8817,48.1542,24.584,36.7175,36.3462,16.8021,12.7877,19.334,5.5131,10.2705,3.0425,0.698,0.3334,0.1969,0.1461,1.4418,0.0081,2.5885,1.7112,6.0424,10.4498,5.407,72.2373,53.1037,90.098,36.0252,6.1576,0.0308,49.6419,51.8674,47.5684,24.581,26.0951,8.7673,5.5617,2.9748,14.7328,5.4901,10.2703,2.7896,0.4408,0.3321,0.0853,0.0618,1.8329,0.056,5.8587,4.22,10.0345,16.0115,7.5014,95.0141,67.1026,108.5369,39.4993,6.2318,0.0,68.5960859338,2.035671282171787,24.105893223839892,8.499080313636307
2017-07-10 17:12:15,-141620.72877847418,-14638.631935211488,48.50674996021506,24.230565123899893,35.492043590682684,32.0107600153226,14.004016902134328,10.971113546075628,18.863801094972892,5.263587207093426,10.95730598740321,-237.03874914476728,-2092.249738173483,-3053.453178049881,-8034.009682268828,-44788.27243833493,2.674215230481018,21.669258875294165,82.247534,17.786997,49.9632,51.8818,48.1517,24.5842,36.6544,36.0858,16.6687,12.6531,19.2679,5.5128,10.2707,3.0371,0.6928,0.3334,0.1941,0.1444,1.4555,0.0084,2.7185,1.8098,6.1977,10.6546,5.4497,72.4958,53.1903,90.1324,36.0039,6.1498,0.0307,49.6422,51.8677,47.5684,24.5813,26.0947,8.7666,5.5616,2.9747,14.7327,5.4902,10.2706,2.7896,0.4408,0.3322,0.0853,0.0618,1.8292,0.0557,5.8486,4.2121,10.0179,15.9837,7.4888,94.8564,66.9915,108.3447,39.4234,6.2178,0.0,68.6295333701,1.680279592702423,16.585386687267498,8.754553262243569
2017-07-10 19:24:00,54947.75276853524,5737.443840994742,49.246508386829134,24.963524732495138,37.77867664037466,37.41225616917737,17.183635246557614,13.511373870551532,20.48565737599762,5.532086536833145,10.597428933582322,-214.89492980526757,-1899.7665764755395,-2772.541052176817,-7294.895437663883,-40667.83302394382,5.100216709364746,236.06902951006956,82.134663,17.529203,50.008,51.9093,48.1634,24.6105,36.9079,37.531,17.6288,13.6679,19.7709,5.5275,10.2941,3.0994,0.7416,0.3346,0.2472,0.1581,0.9471,0.0047,0.1027,0.0407,0.9659,2.634,1.9936,47.9984,38.5088,66.5836,27.0687,4.4509,0.0223,49.6629,51.8929,47.5291,24.6073,25.9679,8.5846,5.5196,2.9354,14.6914,5.5021,10.294,2.7868,0.4388,0.3331,0.0854,0.0616,1.3839,0.025,4.6095,3.2554,7.9772,12.5707,5.9453,75.5388,53.3161,84.76,30.2446,4.5492,0.0,72.7012464835,10.226244096475792,32.650389174575714,24.686614951683058
2017-07-10 19:25:15,33024.222813013555,3471.2053840402095,49.50696596653229,25.18884433360988,37.567792667366334,36.35118162824086,16.455552065414444,12.982989350316794,20.3089811295701,5.62043968480309,12.664294300869859,-162.23587296949327,-1440.584262619421,-2102.405135815189,-5531.685679221184,-30838.23085140066,8.975463377068529,32.154050913511384,82.134105,17.517281,50.0045,51.9095,48.1631,24.6106,36.9042,37.4282,17.4462,13.4675,19.6343,5.5268,10.2942,3.0674,0.7182,0.3345,0.2088,0.1569,0.9773,0.0049,0.8755,0.4569,2.7119,5.0238,3.189,48.8676,37.8525,66.0868,26.9265,4.4307,0.0222,49.6629,51.8931,47.5289,24.6074,25.9666,8.5827,5.5191,2.935,14.6909,5.5021,10.294,2.7868,0.4388,0.3331,0.0854,0.0616,1.3811,0.0248,4.6018,3.2495,7.9641,12.5493,5.9355,75.4185,53.2295,84.6111,30.1877,4.5391,0.0,72.7267504098,5.072485851411943,58.62770292827257,3.5290860923747007
2017-07-10 19:27:00,133473.047499759,13865.498860450776,49.73987578149639,25.583898089174294,37.88658551651168,37.22529830919094,17.034531688693658,13.414756304793418,20.665990790690362,5.896792277196052,9.564751450170204,-287.4916250840065,-2534.4890934450696,-3698.862347029683,-9732.160336709318,-54255.18088882844,3.0203098650386204,77.50119549567471,82.13366,17.504721,50.008,51.9098,48.1634,24.6109,36.9073,37.5127,17.6112,13.6497,19.7604,5.5276,10.2945,3.0964,0.7397,0.3346,0.2404,0.1577,0.9755,0.0049,0.4766,0.2561,2.1666,4.7659,2.9519,49.6514,38.2648,66.1752,26.9178,4.4283,0.0221,49.6632,51.8934,47.5284,24.6078,25.965,8.5805,5.5187,2.9345,14.6905,5.5023,10.2944,2.7867,0.4387,0.3331,0.0854,0.0616,1.3756,0.0245,4.5862,3.2374,7.9389,12.5064,5.9158,75.1736,53.0553,84.3114,30.0733,4.5193,0.0,72.77826881920001,9.796304044080609,18.972607025415517,8.97606983589383
2017-07-10 19:27:30,-111018.39446399224,-11438.826177981218,49.42835215246121,24.986427482830294,37.24509337284603,35.40304035885458,15.963118557330445,12.604702003482105,20.10144696578871,5.668060430728691,12.487699849459457,-98.40011930765688,-882.9510136125166,-1288.5887996005358,-3390.4351201041254,-18901.11387080616,2.1628957192756824,27.995455427105412,82.13366,17.504721,50.0012,51.9098,48.1621,24.611,36.8892,37.2467,17.2677,13.2077,19.5487,5.5266,10.2945,3.0608,0.716,0.3345,0.21,0.155,1.0185,0.0051,1.3482,0.7971,3.678,6.6404,3.6422,51.6373,38.7446,66.5475,27.0238,4.4591,0.0223,49.6633,51.8935,47.5282,24.6079,25.9644,8.5797,5.5184,2.9343,14.6903,5.5023,10.2944,2.7867,0.4387,0.3331,0.0854,0.0616,1.3757,0.0245,4.5863,3.2375,7.939,12.5066,5.9158,75.1743,53.0554,84.3114,30.0733,4.5193,0.0,72.77826881920001,5.139600153140638,13.03411161464774,5.090886956012571
2017-07-10 19:29:15,201553.09237093665,20914.33857777261,49.348619779716756,25.480854221838246,37.65334677354847,37.003936370854056,16.942658582559545,13.35279883184266,20.525572101020675,5.790648777857277,9.714146987375791,-305.045778133343,-2687.2071176794416,-3921.740776853763,-10318.580811746424,-57524.37784503155,2.4769198806736124,56.91283759434728,82.131767,17.495093,50.0077,51.9102,48.163,24.6114,36.9026,37.4859,17.5828,13.6157,19.7422,5.5277,10.2949,3.0918,0.7368,0.3346,0.2337,0.1571,0.9917,0.005,0.7515,0.4264,2.7697,5.6149,3.2674,50.6015,38.417,66.1352,26.8781,4.4266,0.0221,49.6636,51.8938,47.5274,24.6082,25.9628,8.5771,5.5179,2.9338,14.6898,5.5025,10.2947,2.7867,0.4387,0.3331,0.0854,0.0616,1.37,0.0242,4.5704,3.2255,7.9125,12.4624,5.8958,74.9242,52.8783,84.0066,29.9569,4.4988,0.0,72.8306836909,7.3369922895589115,15.155586232883048,8.138132513102997
2017-07-10 19:30:00,126289.92418528924,13115.550910147978,49.575833930448695,24.90466989244678,37.642476756696745,36.72006149872586,16.689125518548632,13.176233977697596,20.45124108365588,5.718663824096598,11.148111358200357,-281.66927802505137,-2483.422682018369,-3624.3354426083265,-9536.070913752097,-53162.01485530137,3.5814292462154045,36.96458440119537,82.130473,17.49092,50.0068,51.9105,48.1634,24.6117,36.9072,37.4692,17.511,13.5581,19.6826,5.5276,10.2952,3.0751,0.7239,0.3346,0.2131,0.1573,0.9542,0.0048,0.7391,0.3624,2.4372,4.7,2.9439,47.4009,37.096,65.1428,26.5877,4.3636,0.0218,49.6639,51.8941,47.5274,24.6085,25.9622,8.5763,5.5177,2.9336,14.6897,5.5026,10.295,2.7867,0.4387,0.3332,0.0854,0.0616,1.3671,0.024,4.5624,3.2193,7.8991,12.4407,5.8857,74.7989,52.7886,83.8529,29.8982,4.4888,0.0,72.8570567588,6.413344073340656,22.81909210013642,3.467971417357364
2017-07-10 19:30:15,79164.9956002834,8253.798992064874,49.17716654305191,25.051106081151232,37.72723707583632,37.16888046104554,17.036532561825535,13.427026938114665,20.595214515602436,5.681428901395037,12.649570109549536,-169.89610302637254,-1507.494284267563,-2200.054386053961,-5788.612828955842,-32270.557128591685,5.823728580528792,81.22752346087029,82.130473,17.49092,50.0088,51.9106,48.1636,24.6117,36.9078,37.5158,17.6139,13.6525,19.762,5.528,10.2952,3.0969,0.7399,0.3347,0.2412,0.1578,0.9657,0.0048,0.4264,0.2272,2.0256,4.511,2.8754,49.1437,37.9863,65.7398,26.7514,4.3964,0.022,49.6639,51.8941,47.5274,24.6085,25.9621,8.576,5.5177,2.9336,14.6896,5.5026,10.295,2.7867,0.4387,0.3332,0.0854,0.0616,1.3672,0.0241,4.5624,3.2193,7.8991,12.4408,5.8857,74.7992,52.7887,83.8529,29.8982,4.4888,0.0,72.8570567588,7.235951714800736,37.50519869016682,9.106725450645817
2017-07-10 19:30:30,-24155.658629707763,-2479.5360929505273,49.21235860975065,25.42858094423576,37.786756365745546,37.534130115576744,17.341544610429896,13.638507461890365,20.689598528206673,5.754183742658142,12.58006286469716,-217.46021869510537,-1922.620131197652,-2805.8937911079192,-7382.650583028117,-41157.05341499133,6.829867029303648,110.727863884601,82.130473,17.49092,50.0089,51.9106,48.1635,24.6117,36.9084,37.5244,17.6217,13.6589,19.7662,5.528,10.2952,3.0982,0.7407,0.3347,0.2444,0.1579,0.9571,0.0048,0.3016,0.1516,1.6902,3.9594,2.6442,48.7527,37.9782,65.7335,26.7484,4.3943,0.022,49.6639,51.8941,47.5272,24.6085,25.9618,8.5756,5.5175,2.9335,14.6895,5.5026,10.295,2.7867,0.4387,0.3332,0.0854,0.0616,1.3672,0.0241,4.5624,3.2193,7.8992,12.4408,5.8857,74.7995,52.7887,83.8529,29.8982,4.4888,0.0,72.8570567588,10.479403947390328,44.454856705214134,11.879604112998521
